Label;G;MeG
103.0551/3.53;1;1
119.05/1.72;0;0
120.0814/3.53;1;1
123.0448/1.72;1;1
130.0506/1.56;1;1
131.0499/3.53;1;1
132.1026/1.97;1;1
136.0764/1.72;1;1
146.0608/5.57;0;0
147.0451/1.72;0;0
152.033/1.55;1;1
160.0439/9.75;1;1
165.0556/1.72;1;1
166.0873/3.53;1;1
170.0822/1.48;1;1
174.0595/9.71;0;1
176.0927/0.8;1;1
182.0823/1.72;1;1
188.0717/5.57;1;1
198.0888/1.86;1;1
203.054/1.02;1;1
205.0987/5.57;1;1
218.1401/2.33;1;0
220.1194/4.44;1;1
258.1356/2.19;0;0
262.1306/1.33;1;1
263.1484/0.8;1;1
276.1464/2.13;1;1
277.1498/1.99;0;0
280.1412/1.34;1;1
285.6704/9;0;0
288.2927/12.33;1;1
291.6427/0.8;1;1
294.1571/2.12;0;1
295.1599/2;0;0
302.1235/1.32;0;1
309.1289/9.65;1;1
310.1309/3.84;1;1
312.1136/1.52;0;1
316.1393/2.01;0;0
326.1258/1.72;1;1
328.1414/3.84;1;1
335.1085/9.69;1;1
344.1365/1.72;1;1
353.1191/9.7;1;1
355.0659/10.29;1;0
357.0908/10.92;1;0
360.0919/8.94;0;0
366.1187/1.71;0;0
367.1363/10.76;1;1
376.2633/12.74;1;1
393.2901/12.74;1;1
398.2457/12.74;1;1
402.1295/1.71;0;1
413.10845/1.76;1;1
421.3218/12.74;1;1
425.1413/10.69;1;0
425.2022/0.81;1;1
431.3883/16.77;0;0
436.34585/17.91;0;1
456.12885/10.23;0;0
457.2689/7.99;0;1
466.5385/16.28;1;1
481.1784/9.32;0;0
481.21445/8.74;0;0
494.5703/16.57;1;1
496.3451/14.64;0;1
515.1729/9.57;1;0
517.1891/9.53;0;0
522.3608/14.87;0;1
522.6016/17.06;0;1
524.3763/15.74;0;1
575.1336/9.08;1;0
575.49485/17.69;0;1
582.2775/0.86;1;1
582.59865/18.59;0;0
589.1491/9.29;0;0
600.2881/0.82;1;1
617.2505/9.65;0;0
661.2406/9.69;0;1
689.2161/1.24;1;1
691.1929/10.93;1;0
705.2308/9.7;0;0
708.518/19.13;1;1
751.5208/12.74;0;0
768.5472/12.74;1;1
773.5023/12.74;1;1
813.6916/19.54;1;0
851.2704/1.34;1;1
1013.3244/1.44;1;1
1175.3779/1.41;0;0
